DR,Codigo_Unidade,Endereco_Cidade,nome,nome_cid,codigo_ibge
MG,87,ARAXA,Araxa,ARAXA,3104007.0
MG,88,GUAXUPE,Guaxupe,GUAXUPE,3128709.0
MG,89,CONSELHEIRO LAFAIETE,Conselheiro Lafaiete,CONSELHEIRO LAFAIETE,3118304.0
MG,90,PATOS DE MINAS,Patos de Minas,PATOS DE MINAS,3148004.0
MG,91,IPATINGA,Ipatinga,IPATINGA,3131307.0
MG,99,ITABIRA,Itabira,ITABIRA,3131703.0
MG,101,CURVELO,Curvelo,CURVELO,3120904.0
MG,124,BETIM,Betim,BETIM,3106705.0
MG,125,SAO JOAO DEL REI,Sao Joao del Rei,SAO JOAO DEL REI,3162500.0
MG,126,ALFENAS,Alfenas,ALFENAS,3101607.0
MG,129,BELO HORIZONTE,Belo Horizonte,BELO HORIZONTE,3106200.0
MG,130,BELO HORIZONTE,Belo Horizonte,BELO HORIZONTE,3106200.0
MG,134,LAVRAS,Lavras,LAVRAS,3138203.0
MG,154,PATROCINIO,Patrocinio,PATROCINIO,3148103.0
RJ,70,RIO DE JANEIRO,Rio de Janeiro,RIO DE JANEIRO,3304557.0
RJ,160,RIO DE JANEIRO,Rio de Janeiro,RIO DE JANEIRO,3304557.0
RJ,181,RIO DE JANEIRO,Rio de Janeiro,RIO DE JANEIRO,3304557.0
RJ,190,RIO DE JANEIRO,Rio de Janeiro,RIO DE JANEIRO,3304557.0
RJ,310,RIO DE JANEIRO,Rio de Janeiro,RIO DE JANEIRO,3304557.0
RJ,330,CAMPOS DOS GOYTACAZES,Campos dos Goytacazes,CAMPOS DOS GOYTACAZES,3301009.0
RJ,339,MACAE,Macae,MACAE,3302403.0
RJ,343,SANTO ANTONIO DE PADUA,Santo Antonio de Padua,SANTO ANTONIO DE PADUA,3304706.0
RJ,345,ITAPERUNA,Itaperuna,ITAPERUNA,3302205.0
RJ,351,RIO DE JANEIRO,Rio de Janeiro,RIO DE JANEIRO,3304557.0
RJ,370,DUQUE DE CAXIAS,Duque de Caxias,DUQUE DE CAXIAS,3301702.0
RJ,377,NOVA IGUACU,Nova Iguacu,NOVA IGUACU,3303500.0
RJ,379,SAO JOAO DE MERITI,Sao Joao de Meriti,SAO JOAO DE MERITI,3305109.0
RJ,381,NOVA IGUACU,Nova Iguacu,NOVA IGUACU,3303500.0
RJ,390,NITEROI,Niteroi,NITEROI,3303302.0
RJ,392,CABO FRIO,Cabo Frio,CABO FRIO,3300704.0
RJ,396,RIO DAS OSTRAS,Rio das Ostras,RIO DAS OSTRAS,3304524.0
RJ,410,PETROPOLIS,Petropolis,PETROPOLIS,3303906.0
RJ,415,NOVA FRIBURGO,Nova Friburgo,NOVA FRIBURGO,3303401.0
